scenario,run,agents,observations,states,missing,RFN,KL,Inaccuracy
polar,0,150,150,32,0.6,1.003884083,261.8585212,0.12548551
polar,0,150,150,32,0.8,1.086290512,345.6663167,0.135786314
polar,0,50,500,16,0,0.907720542,90.36261976,0.160463838
polar,0,50,500,16,0.2,0.904786015,91.36123475,0.159945082
polar,0,50,500,16,0.4,0.969727734,106.1668096,0.171425264
polar,0,50,500,16,0.6,1.055519844,129.9518898,0.18659131
polar,0,50,500,16,0.8,1.166406001,157.5322699,0.206193398
polar,0,150,150,32,0,1.164779041,286.3238041,0.14559738
polar,0,150,150,32,0.2,1.17355818,320.9680769,0.146694772
polar,0,150,150,32,0.4,1.193553249,390.4724036,0.149194156
polar,0,150,150,32,0.6,1.220246799,490.983814,0.15253085
polar,0,150,150,32,0.8,1.282424403,461.1709161,0.16030305
polar,0,150,500,4,0,0.869384449,4.524548331,0.30737382
polar,0,150,500,4,0.2,0.867032748,4.480480201,0.306542368
polar,0,150,500,4,0.4,0.871773619,4.567120741,0.308218519
polar,0,150,500,4,0.6,0.85352779,4.384979986,0.301767644
polar,0,150,500,4,0.8,0.877762862,4.550580106,0.310336036
polar,0,50,300,8,0,0.989704115,21.40705877,0.247426029
polar,0,50,300,8,0.2,0.975478734,21.2221566,0.243869684
polar,0,50,300,8,0.4,1.027637404,41.92117256,0.256909351
polar,0,50,300,8,0.6,1.072740679,69.06163913,0.26818517
polar,0,50,300,8,0.8,1.094373788,84.29953985,0.273593447
polar,0,300,300,16,0,0.910670312,27.09133517,0.160985288
polar,0,300,300,16,0.2,0.911604693,27.16483064,0.161150465
polar,0,300,300,16,0.4,0.911092452,27.20010518,0.161059913
polar,0,300,300,16,0.6,0.909363328,27.14078625,0.160754244
polar,0,300,300,16,0.8,0.908552807,26.97649386,0.160610963
polar,0,150,150,32,0,1.175251457,295.7646681,0.146906432
polar,0,150,150,32,0.2,1.176111237,309.4133942,0.147013905
polar,0,150,150,32,0.4,1.211059823,355.6692928,0.151382478
polar,0,150,150,32,0.6,1.18715916,336.8976415,0.148394895
polar,0,150,150,32,0.8,1.158713527,396.573174,0.144839191
polar,0,150,300,64,0,0.952234404,346.5883938,0.084166426
polar,0,150,300,64,0.2,0.964896316,402.3110364,0.085285591
polar,0,150,300,64,0.4,0.997295326,472.9146089,0.088149286
polar,0,150,300,64,0.6,1.118468,575.424995,0.098859538
polar,0,150,300,64,0.8,1.395942914,758.376715,0.123385088
polar,0,300,300,8,0,0.864436942,10.10921792,0.216109235
polar,0,300,300,8,0.2,0.86792487,10.24567815,0.216981218
polar,0,300,300,8,0.4,0.872109695,10.31477887,0.218027424
polar,0,300,300,8,0.6,0.867361858,9.990266915,0.216840464
polar,0,300,300,8,0.8,0.891143146,11.09656145,0.222785786
polar,0,150,300,32,0,0.880831348,116.6281906,0.110103919
polar,0,150,300,32,0.2,0.892179023,159.7912161,0.111522378
polar,0,150,300,32,0.4,0.90604619,182.0535199,0.113255774
polar,0,150,300,32,0.6,0.998998237,210.6820086,0.12487478
polar,0,150,300,32,0.8,1.262817617,238.1471991,0.157852202
polar,0,300,500,32,0,0.900677269,47.0704095,0.112584659
polar,0,300,500,32,0.2,0.899515078,46.64915381,0.112439385
polar,0,300,500,32,0.4,0.899654337,54.3818614,0.112456792
polar,0,300,500,32,0.6,0.915018112,93.380649,0.114377264
polar,0,300,500,32,0.8,0.92264932,149.0468407,0.115331165
polar,0,50,300,8,0,1.197564999,49.15347598,0.29939125
polar,0,50,300,8,0.2,1.198534051,86.40355908,0.299633513
polar,0,50,300,8,0.4,1.294522405,138.2066732,0.323630601
polar,0,50,300,8,0.6,1.153241689,77.68534543,0.288310422
polar,0,50,300,8,0.8,1.129060091,75.44342762,0.282265023
polar,0,300,300,16,0,0.928264026,25.99711622,0.164095447
polar,0,300,300,16,0.2,0.931900117,26.25663603,0.164738223
polar,0,300,300,16,0.4,0.930119488,26.45205745,0.164423449
polar,0,300,300,16,0.6,0.938602416,36.47718031,0.165923033
polar,0,300,300,16,0.8,0.955768942,88.28408083,0.168957675
polar,0,150,300,64,0,1.019327511,509.5801563,0.090096674
polar,0,150,300,64,0.2,1.038558885,648.5353153,0.091796504
polar,0,150,300,64,0.4,1.077202319,785.7962301,0.095212133
polar,0,150,300,64,0.6,1.17537686,919.0451892,0.103889619
polar,0,150,300,64,0.8,1.817823406,1038.24322,0.160674407
polar,0,300,300,8,0,0.925125846,13.24863043,0.231281462
polar,0,300,300,8,0.2,0.924888305,13.63282896,0.231222076
polar,0,300,300,8,0.4,0.914611186,13.46868642,0.228652797
polar,0,300,300,8,0.6,0.933842991,13.95101482,0.233460748
polar,0,300,300,8,0.8,0.912943609,25.53823882,0.228235902
polar,0,150,300,32,0,0.846280116,93.64345941,0.105785014
polar,0,150,300,32,0.2,0.860309883,120.6655407,0.107538735
polar,0,150,300,32,0.4,0.887709354,165.1944506,0.110963669
polar,0,150,300,32,0.6,0.920348516,174.103172,0.115043564
polar,0,150,300,32,0.8,1.23888368,266.2380113,0.15486046
polar,0,50,500,4,0,0.637243234,2.477796638,0.225299506
polar,0,50,500,4,0.2,0.647744334,2.606478327,0.229012206
polar,0,50,500,4,0.4,0.651317613,2.675744791,0.23027555
polar,0,50,500,4,0.6,0.675245846,2.764688109,0.238735458
polar,0,50,500,4,0.8,0.712709086,3.292649169,0.251980714
polar,0,50,500,8,0,0.735224128,6.41989796,0.183806032
polar,0,50,500,8,0.2,0.715579833,6.058909832,0.178894958
polar,0,50,500,8,0.4,0.74487629,7.583386147,0.186219073
polar,0,50,500,8,0.6,0.750600897,7.438083986,0.187650224
polar,0,50,500,8,0.8,0.740563501,13.48629773,0.185140875
polar,0,300,300,16,0,1.017810043,30.60209589,0.179925096
polar,0,300,300,16,0.2,1.015946344,30.38637553,0.179595637
polar,0,300,300,16,0.4,1.02824979,35.58883291,0.1817706
polar,0,300,300,16,0.6,1.005463748,29.10993858,0.177742559
polar,0,300,300,16,0.8,1.046467654,94.21414639,0.184991094
polar,0,150,300,64,0,1.419583453,911.7459775,0.125474636
polar,0,150,300,64,0.2,1.535224661,937.1650709,0.135695971
polar,0,150,300,64,0.4,1.700702237,929.6042438,0.150322261
polar,0,150,300,64,0.6,1.654735742,794.8254233,0.146259358
polar,0,150,300,64,0.8,1.717728123,559.2206815,0.15182715
polar,0,50,500,16,0,1.000196303,79.17401625,0.176811397
polar,0,50,500,16,0.2,1.018836972,86.229293,0.180106633
polar,0,50,500,16,0.4,1.105370957,132.2729534,0.195403825
polar,0,50,500,16,0.6,1.149718778,172.6383728,0.203243486
polar,0,50,500,16,0.8,1.316563821,199.6032288,0.232737801
polar,0,300,300,8,0,0.860383294,11.9105763,0.215095824
polar,0,300,300,8,0.2,0.860771922,11.93832694,0.215192981
polar,0,150,300,32,0,0.823222698,34.19471595,0.102902837
polar,0,300,300,8,0.4,0.862325242,12.07038029,0.21558131
polar,0,150,300,32,0.2,0.822533581,37.91174831,0.102816698
polar,0,300,300,8,0.6,0.858021791,11.781578,0.214505448
polar,0,150,300,32,0.4,0.832823804,57.14916187,0.104102975
