Scenario,states,missing,SS ratio,agents,observations,Inaccuracy
polarization,2,0.2,0,150,150,0.267992532
polarization,2,0.6,0,150,150,0.090636402
polarization,2,0.6,0.6,50,150,0.277336486
polarization,2,0.4,0.6,50,150,0.107704755
polarization,2,0.6,0.4,50,500,0.272993373
polarization,2,0.8,0,150,150,0.156225693
polarization,2,0.4,0,150,150,0.265553308
polarization,2,0.2,0,300,150,0.207089911
polarization,2,0.8,0.6,50,150,0.372475601
polarization,2,0.6,0.6,50,150,0.100900734
polarization,2,0.6,0,150,150,0.269913542
polarization,2,0.8,0,150,150,0.271267767
polarization,2,0.8,0.6,50,150,0.215314993
polarization,2,0.2,0.2,150,150,0.072225108
polarization,2,0.2,0.8,50,150,0.144051017
polarization,2,0.4,0.2,50,300,0.180056089
polarization,2,0.8,0.2,150,500,0.189662007
polarization,2,0.8,0.2,300,300,0.311946561
polarization,2,0.4,0,300,150,0.205246007
polarization,2,0.4,0.8,50,150,0.198879235
polarization,2,0.2,0.8,50,150,0.071400557
polarization,2,0.8,0,300,500,0.158514571
polarization,2,0.2,0.2,150,150,0.270921135
polarization,2,0.8,0.2,300,300,0.114357996
polarization,2,0.4,0.2,150,150,0.09078397
polarization,2,0.6,0.6,150,300,0.178113015
polarization,2,0.6,0.8,50,150,0.301392549
polarization,2,0.4,0.8,50,150,0.089603443
polarization,2,0.6,0,300,150,0.206512288
polarization,2,0.8,0.8,50,150,0.31733758
polarization,2,0.4,0.2,150,150,0.272468684
polarization,2,0.6,0.8,50,150,0.165543326
polarization,2,0.6,0.2,150,150,0.130780134
polarization,2,0.6,0.2,50,300,0.196627033
polarization,4,0,0,50,150,0.209471185
polarization,4,0.2,0,50,150,0.211713058
polarization,2,0.8,0.8,50,150,0.202001959
polarization,4,0.4,0,50,150,0.205687949
polarization,4,0.6,0,50,150,0.229305408
polarization,4,0.8,0,50,150,0.272287096
polarization,2,0.6,0.2,150,150,0.268695542
polarization,2,0.8,0.2,150,150,0.081375882
polarization,2,0.8,0,300,150,0.219187701
polarization,2,0,0,50,300,0.396259777
polarization,4,0.2,0.2,50,150,0.217313915
polarization,2,0.2,0,50,300,0.387679191
polarization,2,0.8,0.2,150,150,0.152083483
polarization,2,0.4,0,50,300,0.392727989
polarization,4,0.4,0.2,50,150,0.214624685
polarization,2,0.6,0,50,300,0.394785838
polarization,2,0.8,0.4,50,500,0.283361688
polarization,2,0.2,0.4,150,150,0.105895392
polarization,2,0.8,0,50,300,0.309630375
polarization,2,0.8,0.6,150,300,0.266771292
polarization,4,0.6,0.2,50,150,0.254227161
polarization,2,0.8,0.2,50,300,0.155067599
polarization,4,0.8,0.2,50,150,0.252175609
polarization,2,0.2,0.4,150,150,0.285272796
polarization,2,0.4,0.4,150,150,0.123360684
polarization,2,0.2,0.2,300,150,0.20676809
polarization,2,0.2,0.2,50,300,0.385745969
polarization,4,0.2,0.4,50,150,0.25211469
polarization,2,0.6,0.4,150,150,0.191292038
polarization,2,0.4,0.4,150,150,0.264719513
polarization,4,0.4,0.4,50,150,0.269473255
polarization,2,0.8,0.4,150,150,0.093903487
polarization,4,0.6,0.4,50,150,0.312187506
polarization,2,0.6,0.4,150,150,0.255749977
polarization,2,0.4,0.2,300,150,0.201402291
polarization,2,0.2,0.4,50,300,0.164307764
polarization,2,0.4,0.2,50,300,0.36971529
polarization,4,0.8,0.4,50,150,0.243665601
polarization,2,0.8,0.4,150,150,0.231348514
polarization,2,0.2,0.6,150,150,0.122543697
polarization,4,0.2,0.6,50,150,0.273904532
polarization,2,0.2,0.4,300,300,0.349516816
polarization,4,0.4,0.6,50,150,0.313962576
polarization,2,0.6,0.2,300,150,0.217067247
polarization,2,0.2,0.8,150,300,0.166857373
polarization,2,0.4,0.6,150,150,0.157360463
polarization,2,0.2,0.6,150,150,0.306235752
polarization,2,0.2,0.4,300,300,0.124677507
polarization,2,0.6,0.2,50,300,0.364987681
polarization,2,0.4,0.4,50,300,0.166729403
polarization,4,0.6,0.6,50,150,0.344375097
polarization,4,0.8,0.6,50,150,0.32478209
polarization,2,0.6,0.6,150,150,0.251681509
polarization,2,0.4,0.6,150,150,0.312335521
polarization,2,0.8,0.2,300,150,0.182032243
polarization,4,0.2,0.8,50,150,0.294757057
polarization,2,0.8,0.6,150,150,0.369834435
polarization,2,0.6,0.6,150,150,0.323186691
polarization,4,0.4,0.8,50,150,0.320724771
polarization,2,0.6,0.4,50,300,0.18865387
polarization,2,0.8,0.2,50,300,0.303081016
polarization,2,0.2,0.4,150,500,0.200011213
polarization,4,0.6,0.8,50,150,0.350913004
polarization,2,0.2,0.6,50,500,0.245738346
polarization,2,0.8,0.6,150,150,0.274488728
polarization,2,0.4,0.8,150,300,0.180409979
polarization,2,0.2,0.8,150,150,0.143336603
polarization,4,0.8,0.8,50,150,0.312250835
polarization,2,0.2,0.4,300,150,0.215658357
polarization,4,0,0,50,150,0.177456165
polarization,4,0.2,0,50,150,0.178672047
polarization,4,0.4,0,50,150,0.185161992
polarization,4,0.6,0,50,150,0.195534942
polarization,2,0.4,0.8,150,150,0.186650931
polarization,4,0.8,0,50,150,0.263037486
polarization,2,0.8,0.4,50,300,0.285405693
polarization,2,0.2,0.8,150,150,0.311728027
polarization,4,0.2,0.2,50,150,0.178702821
polarization,2,0.6,0.8,150,150,0.29396552
polarization,4,0.4,0.2,50,150,0.172133236
polarization,2,0.2,0.4,50,300,0.381454924
polarization,2,0.4,0.4,300,300,0.353803827
polarization,2,0.4,0.8,150,150,0.305913047
polarization,2,0.4,0.4,300,150,0.21371693
polarization,4,0.6,0.2,50,150,0.214731322
polarization,2,0.4,0.4,300,300,0.128453374
polarization,2,0.8,0.8,150,150,0.368692183
polarization,2,0.6,0.8,150,300,0.196765481
polarization,4,0.8,0.2,50,150,0.17076716
polarization,2,0.6,0.8,150,150,0.317729501
polarization,2,0,0,150,150,0.040987523
polarization,4,0.2,0.4,50,150,0.183979898
polarization,2,0.6,0.4,300,150,0.22137664
polarization,2,0.4,0.4,50,300,0.404615272
polarization,2,0.8,0.8,150,150,0.278522718
polarization,2,0.2,0.6,50,300,0.223048154
polarization,2,0.2,0,150,150,0.04563836
polarization,4,0.4,0.4,50,150,0.204381573
polarization,2,0.4,0.6,50,500,0.259030615
polarization,2,0.4,0,150,150,0.054491877
polarization,4,0.6,0.4,50,150,0.317344141
polarization,2,0,0,150,150,0.132833039
polarization,2,0.6,0,150,150,0.073169257
polarization,4,0.8,0.4,50,150,0.177272811
polarization,2,0.2,0,150,150,0.131060533
polarization,2,0.8,0.4,300,150,0.237667355
polarization,2,0.8,0,150,150,0.139946239
polarization,2,0.2,0.2,300,500,0.152770755
polarization,2,0.8,0.8,150,300,0.326462306
polarization,2,0.4,0,150,150,0.134343585
polarization,2,0.6,0.4,50,300,0.389140591
polarization,2,0.4,0.6,50,300,0.232624382
polarization,4,0.2,0.6,50,150,0.263743383
polarization,2,0.6,0,150,150,0.125279096
polarization,2,0.2,0.2,150,150,0.047719256
polarization,2,0.8,0,150,150,0.130317855
polarization,4,0.4,0.6,50,150,0.303035869
polarization,2,0.4,0.4,150,500,0.200654387
polarization,4,0.6,0.6,50,150,0.302018922
polarization,2,0.6,0.4,300,300,0.356557861
polarization,2,0.4,0.2,150,150,0.068051718
polarization,2,0.2,0.2,150,150,0.134611636
polarization,2,0.2,0.6,300,150,0.214029327
polarization,4,0.8,0.6,50,150,0.29083516
polarization,2,0.8,0.4,50,300,0.382983996
polarization,2,0.6,0.6,50,300,0.239049118
polarization,2,0.6,0.4,300,300,0.143111791
polarization,2,0,0,150,300,0.133649573
polarization,2,0.4,0.2,150,150,0.135270274
polarization,2,0.6,0.2,150,150,0.118674514
polarization,4,0.2,0.8,50,150,0.246268538
polarization,4,0.4,0.8,50,150,0.301908091
polarization,2,0.8,0.2,150,150,0.067661212
polarization,2,0.4,0.6,300,150,0.215729816
polarization,2,0.6,0.2,150,150,0.137264432
polarization,2,0.2,0,150,300,0.133646632
polarization,4,0.6,0.8,50,150,0.341369154
polarization,2,0.6,0.6,50,500,0.252339439
polarization,2,0.8,0.6,50,300,0.354436996
polarization,4,0.8,0.8,50,150,0.280485632
polarization,2,0.8,0.2,150,150,0.021269004
polarization,2,0.2,0.4,150,150,0.084159902
polarization,4,0,0,50,150,0.114844454
polarization,2,0.2,0.6,50,300,0.4611661
polarization,4,0.2,0,50,150,0.117259635
polarization,2,0.4,0,150,300,0.1322115
polarization,4,0.4,0,50,150,0.122968926
polarization,2,0.6,0.6,300,150,0.209850815
polarization,4,0.6,0,50,150,0.136113706
polarization,4,0.8,0,50,150,0.203383858
polarization,2,0.4,0.4,150,150,0.114647399
polarization,2,0.2,0.4,150,150,0.137838451
polarization,4,0.2,0.2,50,150,0.11459831
polarization,2,0.6,0,150,300,0.13494024
polarization,4,0.4,0.2,50,150,0.108825053
polarization,2,0.6,0.4,150,150,0.161443775
polarization,2,0.4,0.4,150,150,0.129585456
polarization,2,0.2,0.8,50,300,0.216585089
polarization,4,0.6,0.2,50,150,0.15930917
polarization,2,0.8,0.6,300,150,0.213775915
polarization,2,0.4,0.6,50,300,0.455368999
polarization,2,0.8,0.4,300,300,0.355348645
polarization,2,0.8,0,150,300,0.151952947
polarization,2,0.8,0.4,150,150,0.332736653
polarization,4,0.8,0.2,50,150,0.092123164
polarization,2,0.6,0.4,150,150,0.128531094
polarization,2,0.8,0.4,300,300,0.215724789
polarization,4,0.2,0.4,50,150,0.118391927
polarization,2,0.6,0.4,150,500,0.207256105
polarization,2,0.8,0.4,150,150,0.223605879
polarization,2,0.2,0.6,150,150,0.114164551
polarization,4,0.4,0.4,50,150,0.153579611
polarization,2,0.4,0.8,50,300,0.238869143
polarization,2,0.6,0.6,50,300,0.460687901
polarization,2,0.8,0.6,50,500,0.339095408
polarization,4,0.6,0.4,50,150,0.216385929
polarization,2,0.4,0.6,150,150,0.146528716
polarization,2,0.2,0.8,300,150,0.216572381
polarization,2,0.2,0.6,150,150,0.138839863
polarization,4,0.8,0.4,50,150,0.368218279
polarization,2,0.6,0.6,150,150,0.247295097
polarization,2,0.2,0.2,150,300,0.134029875
polarization,2,0.4,0.6,150,150,0.12482357
polarization,4,0.2,0.6,50,150,0.144834812
polarization,2,0.6,0.8,50,300,0.262008394
polarization,2,0.8,0.6,50,300,0.483838966
polarization,4,0.4,0.6,50,150,0.176338653
polarization,2,0.8,0.6,150,150,0.359386243
polarization,2,0.4,0.8,300,150,0.214679404
polarization,2,0.6,0.6,150,150,0.178944636
polarization,4,0.6,0.6,50,150,0.284054787
polarization,4,0.8,0.6,50,150,0.334107549
polarization,2,0.8,0.6,150,150,0.140837866
polarization,2,0.2,0.8,150,150,0.134441702
polarization,2,0.8,0.8,50,300,0.355240591
polarization,2,0.4,0.2,300,500,0.152518965
polarization,2,0.4,0.2,150,300,0.140416969
polarization,2,0.6,0.8,300,150,0.224229603
polarization,4,0.2,0.8,50,150,0.194707238
polarization,2,0.4,0.8,150,150,0.182107076
polarization,4,0.4,0.8,50,150,0.229331807
polarization,2,0.2,0.8,150,150,0.147980122
polarization,2,0.2,0.8,50,300,0.461676495
polarization,2,0,0,50,300,0.127892789
polarization,2,0.2,0,50,300,0.128114532
polarization,4,0.6,0.8,50,150,0.34294963
polarization,2,0.6,0.8,150,150,0.294668848
polarization,2,0.4,0,50,300,0.128690828
polarization,2,0.4,0.8,150,150,0.164606476
polarization,2,0.2,0.6,300,300,0.324601769
polarization,2,0.6,0,50,300,0.141700863
polarization,4,0.8,0.8,50,150,0.317816941
polarization,2,0.8,0.8,300,150,0.233297596
