Scenario,state,missing,agents,observations,inaccuracy
outlier,16,0.8,50,300,0.24965148
outlier,16,0,50,300,0.025846655
outlier,32,0.2,50,150,0.032177894
outlier,16,0.6,50,500,0.100864407
outlier,8,0.8,50,300,0.262709094
outlier,8,0,50,300,0.022527685
outlier,16,0.8,300,150,0.248269083
outlier,4,0.4,50,300,0.231237604
outlier,32,0.4,50,150,0.053767979
outlier,4,0.4,150,150,0.26762213
outlier,8,0.6,300,150,0.116865365
outlier,8,0.6,150,150,0.189609413
outlier,16,0.2,50,300,0.035642758
outlier,4,0.6,300,150,0.107596003
outlier,16,0,300,150,0.248269083
outlier,32,0.6,50,150,0.144093529
outlier,8,0.2,50,300,0.030802964
outlier,8,0.4,150,300,0.023182771
outlier,4,0.6,50,300,0.132563738
outlier,8,0.6,50,500,0.082202102
outlier,8,0.6,300,300,0.04797079
outlier,4,0.6,150,150,0.192447059
outlier,32,0.8,50,150,0.233132659
outlier,32,0,50,150,0.233132659
outlier,32,0.2,50,150,0.237055049
outlier,32,0.4,50,150,0.227129825
outlier,16,0.2,300,150,0.241971973
outlier,32,0.6,50,150,0.191409482
outlier,8,0.8,150,150,0.188083615
outlier,32,0,50,300,0.019034678
outlier,32,0.8,50,150,0.202213413
outlier,32,0,50,150,0.028332532
outlier,4,0.6,300,300,0.057353016
outlier,16,0.4,300,300,0.015083253
outlier,16,0.4,50,300,0.071657553
outlier,32,0.2,50,150,0.034942014
outlier,8,0.4,50,300,0.064283399
outlier,4,0.8,150,150,0.144621533
outlier,16,0.4,300,150,0.21871492
outlier,4,0.8,50,300,0.058266397
outlier,32,0,50,500,0.016718977
outlier,4,0,50,300,0.024331611
outlier,32,0.4,50,150,0.056278781
outlier,4,0.4,150,300,0.02182213
outlier,32,0.6,50,150,0.153965769
outlier,16,0.6,300,150,0.20376741
outlier,16,0.6,50,300,0.190246977
outlier,8,0.8,300,150,0.262412616
outlier,8,0.6,50,300,0.174785094
outlier,4,0.2,50,300,0.032162456
outlier,32,0.8,50,150,0.301781923
outlier,4,0.8,300,150,0.260203706
outlier,32,0,50,150,0.301781923
outlier,32,0.2,50,150,0.302315903
outlier,32,0.2,50,300,0.023038757
outlier,16,0.8,300,150,0.204377624
outlier,4,0.6,50,500,0.1195935
outlier,32,0.4,50,150,0.278338259
outlier,16,0,300,150,0.012899819
outlier,32,0.6,50,150,0.226946685
outlier,32,0.8,50,150,0.220484477
outlier,16,0.4,150,300,0.024881751
outlier,32,0,50,150,0.029545824
outlier,16,0.8,50,300,0.315718972
outlier,32,0.2,50,150,0.037032994
outlier,8,0,300,150,0.262412616
outlier,8,0.8,50,300,0.269556751
outlier,4,0.4,50,300,0.065807366
outlier,4,0,300,150,0.260203706
outlier,32,0.4,50,150,0.066780958
outlier,32,0.6,50,150,0.184641345
outlier,16,0.8,50,500,0.277217389
outlier,16,0,50,300,0.315718972
outlier,8,0.2,300,150,0.256551702
outlier,32,0.8,50,150,0.301747488
outlier,32,0.4,50,300,0.036632931
outlier,8,0,50,300,0.269556751
outlier,4,0.6,50,300,0.164914202
outlier,4,0.2,300,150,0.251903706
outlier,32,0,50,150,0.301747488
outlier,32,0.2,50,150,0.286665043
outlier,32,0.4,50,150,0.25317527
outlier,16,0.2,300,150,0.015866945
outlier,32,0.6,50,150,0.201373192
outlier,8,0.8,50,500,0.293045302
outlier,32,0.8,50,150,0.16455511
outlier,32,0,50,150,0.033792295
outlier,16,0,50,500,0.277217389
outlier,16,0.2,50,300,0.316172558
outlier,8,0.4,300,150,0.234794358
outlier,8,0.2,50,300,0.261928896
outlier,32,0.2,50,150,0.042574423
outlier,4,0.4,300,150,0.220512083
outlier,8,0.6,150,300,0.080817778
outlier,4,0.8,50,300,0.267415188
outlier,32,0.4,50,150,0.075518978
outlier,32,0.6,50,150,0.185264086
outlier,32,0.2,50,500,0.020383355
outlier,8,0,50,500,0.293045302
outlier,8,0.6,300,150,0.143496782
outlier,16,0.4,50,300,0.300318578
outlier,32,0.6,50,300,0.105933016
outlier,32,0.8,50,150,0.316056313
outlier,16,0.2,50,500,0.26807374
outlier,8,0.4,50,300,0.253530833
outlier,4,0.6,300,150,0.117785916
outlier,32,0,50,150,0.316056313
outlier,4,0,50,300,0.267415188
